idLocation,Street_Address,City,State,ZipCode,PhoneNumber
1,578 Northland Trail,Atlanta,GA,30465,404-753-4012
2,8734 Iowa Way,Athens,GA,30052,706-754-1847
3,0 Caliangt Place,Atlanta,GA,30095,404-171-6516
4,941 Pond Alley,Atlanta,GA,30446,770-303-3445
5,7806 Westridge Parkway,Atlanta,GA,30168,404-924-1123
6,282 Mallard Hill,Atlanta,GA,30542,404-575-2080
7,730 Farmco Hill,Atlanta,GA,30491,404-128-0859
8,0 Main Way,Atlanta,GA,30098,404-665-3370
9,0438 Vermont Lane,Athens,GA,30616,706-581-0370
10,410 Armistice Hill,Atlanta,GA,30641,404-814-8485
11,12099 Hooker Plaza,Atlanta,GA,30656,404-154-8014
12,1065 Mariners Cove Trail,Gainesville,GA,30227,770-687-9725
13,06 Luster Street,Atlanta,GA,30353,678-469-7293
14,4 Doe Crossing Hill,Atlanta,GA,30161,678-719-1055
15,1554 Blackbird Street,Norcross,GA,30662,404-794-7297
16,5003 Schurz Way,Marietta,GA,30563,678-866-9774
17,48 Jenifer Alley,Augusta,GA,30662,706-751-2402
18,159 Scoville Center,Albany,GA,30224,229-999-6583
19,3 Memorial Avenue,Atlanta,GA,30081,404-617-7869
20,6420 Vera Plaza,Gainesville,GA,30418,404-755-7889
